"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Open Access"
"An overview of unsupervised drift detection methods","https://wires.onlinelibrary.wiley.com/doi/abs/10.1002/widm.1381","2020","Journal Article","Wiley Interdisciplinary Reviews-Data Mining and Knowledge Discovery","Rosana Noronha Gemaque
Albert Franca Josua Costa
Rafael Giusti
Eulanda Miranda dos Santos","10.1002/WIDM.1381","https://wires.onlinelibrary.wiley.com/doi/pdf/10.1002/widm.1381","Yes"
"Early drift detection method","https://www.academia.edu/download/48905428/Early_Drift_Detection_Method_20160917-1085-1m513qn.pdf","2005","","","Manuel Baena-Garc
Jose del Campo ¶ Avila
Albert Bifet
Ricard Gavald
Rafael Morales-Bueno","","https://www.academia.edu/download/48905428/Early_Drift_Detection_Method_20160917-1085-1m513qn.pdf","Yes"
"Adaptive concept drift detection","https://onlinelibrary.wiley.com/doi/abs/10.1002/sam.10054","2009","Journal Issue","Statistical Analysis and Data Mining","Anton Dries
Ulrich Rückert","10.1002/SAM.V2:5/6","https://epubs.siam.org/doi/pdf/10.1137/1.9781611972795.21","No"
"Flexible consistency checking","https://dl.acm.org/doi/abs/10.1145/839268.839271","2003","Journal Article","ACM Transactions on Software Engineering and Methodology","Christian Nentwich
Wolfgang Emmerich
Anthony Finkelsteiin
Ernst Ellmer","10.1145/839268.839271","https://dl.acm.org/doi/pdf/10.1145/839268.839271","No"
"Visual drift detection for event sequence data of business processes","https://ieeexplore.ieee.org/abstract/document/9316994/","2020","Journal Article","arXiv: Human-Computer Interaction","Anton Yeshchenko
Claudio Di Ciccio
Jan Mendling
Artem Polyvyanyy","10.1109/TVCG.2021.3050071","https://arxiv.org/pdf/2011.09130","Yes"
"Concept drift detection for streaming data","https://ieeexplore.ieee.org/abstract/document/7280398/","2015","Proceedings Article","International Joint Conference on Neural Network","Heng Wang
Zubin Abraham","10.1109/IJCNN.2015.7280398","https://arxiv.org/pdf/1504.01044","Yes"
"Automated consistency checking of requirements specifications","https://dl.acm.org/doi/abs/10.1145/234426.234431","1996","Journal Article","ACM Transactions on Software Engineering and Methodology","Constance L. Heitmeyer
Ralph D. Jeffords
B. Labaw","10.1145/234426.234431","https://dl.acm.org/doi/pdf/10.1145/234426.234431","No"
"Instant consistency checking for the UML","https://dl.acm.org/doi/abs/10.1145/1134285.1134339","2006","Proceedings Article","International Conference on Software Engineering","Alexander Egyed","10.1145/1134285.1134339","https://dl.acm.org/doi/pdf/10.1145/1134285.1134339","Yes"
"Fast and accurate business process drift detection","https://link.springer.com/chapter/10.1007/978-3-319-23063-4_27","2015","Book Chapter","Business Process Management","Abderrahmane Maaradji
Marlon Dumas
Marcello La Rosa
Alireza Ostovar","10.1007/978-3-319-23063-4_27","https://eprints.qut.edu.au/83013/1/paper.pdf","Yes"
"xlinkit: A consistency checking and smart link generation service","https://dl.acm.org/doi/abs/10.1145/514183.514186","2002","Journal Article","ACM Transactions on Internet Technology","Christian Nentwich
Licia Capra
Wolfgang Emmerich
Anthony Finkelsteiin","10.1145/514183.514186","https://dl.acm.org/doi/pdf/10.1145/514183.514186","No"
"Online and non-parametric drift detection methods based on Hoeffding's bounds","https://ieeexplore.ieee.org/abstract/document/6871418/","2015","Journal Article","IEEE Transactions on Knowledge and Data Engineering","Isvani Frias-Blanco
José del Campo-Ávila
Gonzalo Ramos-Jiménez
Rafael Morales-Bueno
Agustín Alejandro Ortiz-Díaz
Yailé Caballero-Mota","10.1109/TKDE.2014.2345382","","No"
"Concept drift detection via competence models","https://www.sciencedirect.com/science/article/pii/S0004370214000034","2014","Journal Article","Artificial Intelligence","Ning Lu
Guangquan Zhang
Jie Lu","10.1016/J.ARTINT.2014.01.001","","Yes"
"Concept drift detection and localization in process mining: An integrated and efficient approach enabled by trace clustering","https://dl.acm.org/doi/abs/10.1145/3412841.3441918","2021","Proceedings Article","ACM Symposium on Applied Computing","Rafael Gaspar de Sousa
Sarajane Marques Peres
Marcelo Fantinato
Hajo A. Reijers","10.1145/3412841.3441918","https://dl.acm.org/doi/pdf/10.1145/3412841.3441918","No"
"Drift correction for gas sensors using multivariate methods","https://analyticalsciencejournals.onlinelibrary.wiley.com/doi/pdf/10.1002/1099-128X(200009/12)14:5/6%3C711::AID-CEM607%3E3.0.CO;2-4","2000","Journal Article","Journal of Chemometrics","Tom Artursson
Tomas Eklöv
Ingemar Lundström
Per Mårtensson
Michael Sjöström
Martin Holmberg","10.1002/1099-128X(200009/12)14:5/6<711::AID-CEM607>3.0.CO;2-4","","No"
"Self‐healing materials","https://advanced.onlinelibrary.wiley.com/doi/abs/10.1002/adma.201003036","2012","Reference Entry","","Michael W. Keller","10.1002/9781118097298.WEOC219","","No"
"Self-healing materials: a review","https://pubs.rsc.org/en/content/articlehtml/2008/sm/b711716g","2008","Journal Article","Soft Matter","Richard P. Wool","10.1039/B711716G","https://www.researchgate.net/profile/R-Wool/publication/228525532_Self-healing_materials_A_review/links/0f3175303da2c8b8c3000000/Self-healing-materials-A-review.pdf","No"
"A surprise from 1954: siloxane equilibration is a simple, robust, and obvious polymer self-healing mechanism","https://pubs.acs.org/doi/abs/10.1021/ja2113257","2012","Journal Article","Journal of the American Chemical Society","Peiwen Zheng
Thomas J. McCarthy","10.1021/JA2113257","","No"
"Self-healing polymeric materials","https://pubs.rsc.org/en/content/articlehtml/2009/vr/c3cs60109a","2013","Journal Article","Chemical Society Reviews","Ying Yang
Marek W. Urban","10.1039/C3CS60109A","","No"
"Frequency and phase drift correction of magnetic resonance spectroscopy data by spectral registration in the time domain","https://onlinelibrary.wiley.com/doi/abs/10.1002/mrm.25094","2015","Journal Article","Magnetic Resonance in Medicine","Jamie Near
Richard A.E. Edden
Christopher John Evans
R Paquin
Ashley D. Harris
Peter Jezzard","10.1002/MRM.25094","https://pmc.ncbi.nlm.nih.gov/articles/PMC5851009/pdf/nihms942582.pdf","Yes"
"Chemical and physical aspects of self-healing materials","https://www.sciencedirect.com/science/article/pii/S0079670015000696","2015","Journal Article","Progress in Polymer Science","Ying Yang
Xiaochu Ding
Marek W. Urban","10.1016/J.PROGPOLYMSCI.2015.06.001","https://www.academia.edu/download/43269050/2015-Self-healing_materials_review.pdf","Yes"
"Self-healing structural composite materials","https://www.sciencedirect.com/science/article/pii/S1359835X03001386","2003","Journal Article","Composites Part A-applied Science and Manufacturing","Michael R. Kessler
Nancy R. Sottos
Scott R. White","10.1016/S1359-835X(03)00138-6","https://scispace.com/pdf/self-healing-structural-composite-materials-4wonigopl1.pdf","No"
"Self-healing polymers","https://www.nature.com/articles/s41578-020-0202-4","2015","Book Chapter","","Timothy C. Mauldin
Dylan J. Boday","10.1002/9783527674107.CH36","https://par.nsf.gov/servlets/purl/10233054","No"
"Self healing concrete: a biological approach","https://link.springer.com/chapter/10.1007/978-1-4020-6250-6_9","2007","Book Chapter","","Henk M. Jonkers","10.1007/978-1-4020-6250-6_9","https://www.academia.edu/download/54319894/Livro_-_Self_Healing_Materials_-_An_Alternative_Approach_to_20_Centuries_of_Materials_Science.pdf#page=205","No"
"Self-healing superamphiphobicity","https://pubs.rsc.org/en/content/articlehtml/2011/cc/c0cc04066e","2011","Journal Article","Chemical Communications","Xiaolong Wang
Xinjie Liu
Feng Zhou
Weimin Liu","10.1039/C0CC04066E","","No"
"Self healing materials: an alternative approach to 20 centuries of materials science","https://www.degruyterbrill.com/document/doi/10.1515/ci.2008.30.6.20/html","2007","Book","","Sylbrand van der Zwaag","","","Yes"
"Self-healing polymers and composites","https://www.annualreviews.org/content/journals/10.1146/annurev-matsci-070909-104532","2010","Journal Article","International Materials Reviews","Timothy C. Mauldin
Michael R. Kessler","10.1179/095066010X12646898728408","http://autonomic.beckman.illinois.edu/nrs097.pdf","Yes"
"Self-healing soft electronics","https://www.nature.com/articles/s41928-019-0235-0","2019","Journal Article","","Jiheong Kang
Jeffrey B.-H. Tok
Zhenan Bao","10.1038/S41928-019-0235-0","","No"
"Self‐healing hydrogels","https://advanced.onlinelibrary.wiley.com/doi/abs/10.1002/adma.201601613","2016","Journal Article","Advanced Materials","Danielle L. Taylor
Marc in het Panhuis","10.1002/ADMA.201601613","https://advanced.onlinelibrary.wiley.com/doi/am-pdf/10.1002/adma.201601613","Yes"
"Sample drift correction in 3D fluorescence photoactivation localization microscopy","https://opg.optica.org/abstract.cfm?uri=oe-19-16-15009","2011","Journal Article","Optics Express","Michael J. Mlodzianoski
John M. Schreiner
Steven P. Callahan
Katarína Smolková
Andrea Dlasková
Jitka Šantorová
Petr Ježek
Joerg Bewersdorf","10.1364/OE.19.015009","https://opg.optica.org/viewmedia.cfm?seq=0&uri=oe-19-16-15009","Yes"
"Self-healing polymeric materials: A review of recent developments","https://www.sciencedirect.com/science/article/pii/S0079670008000208","2008","Journal Article","Progress in Polymer Science","Dong Yang Wu
Sam Meure
David H. Solomon","10.1016/J.PROGPOLYMSCI.2008.02.001","","No"
"Towards architecture-based self-healing systems","https://dl.acm.org/doi/abs/10.1145/582128.582133","2002","Proceedings Article","Workshop on Self-healing systems","Eric M. Dashofy
André van der Hoek
Richard N. Taylor","10.1145/582128.582133","https://dl.acm.org/doi/pdf/10.1145/582128.582133","No"
"A review of self‐healing concrete for damage management of structures","https://advanced.onlinelibrary.wiley.com/doi/abs/10.1002/admi.201800074","2018","Journal Article","Advanced Materials Interfaces","Nele De Belie
Elke Gruyaert
Abir Al-Tabbaa
Paola Antonaci
Cornelia Baera
Diana Bajare
Aveline Darquennes
Robert Davies
Liberato Ferrara
Tony Jefferson
Chrysoula Litina
Bojan Miljević
Anna Otlewska
Jonjaua Ranogajec
Marta Roig-Flores
Kevin Paine
Pawel Lukowski
Pedro Serna
Jean Marc Christian Tulliani
Snezana Vucetic
Jianyun Wang
Henk M. Jonkers","10.1002/ADMI.201800074","https://re.public.polimi.it/bitstream/11311/1054570/1/admi.201800074_R1.pdf","Yes"
"Kubernetes","https://dzone.com/storage/attachments/14131598-dzone-kubernetesbundle.pdf","2022","Book Chapter","","William J. Severud","10.1007/978-1-4842-7996-0_14","https://dzone.com/storage/attachments/14131598-dzone-kubernetesbundle.pdf","No"
"Kubernetes in action","https://books.google.com/books?hl=en&lr=&id=WTgzEAAAQBAJ&oi=fnd&pg=PT29&dq=%22Terraform%22+OR+%22CloudFormation%22+OR+%22Ansible%22+OR+%22Pulumi%22+OR+%22Kubernetes%22+OR+%22GitOps%22+OR+%22ArgoCD%22+OR+%22Flux%22&ots=FugCB1osdt&sig=IwrgE97tF7d6IDUMCNe377UgD3w","2018","Book","","Marko Lukša","","","Yes"
"The control of flux","https://m.productshows.com/quantitative-medicine/wp-content/uploads/sites/117/2016/08/KacserBurns1973_21yearsOn_Pedro.pdf","1973","Journal Article","Symposia of the Society for Experimental Biology","Henrik Kacser
J A Burns","","https://m.productshows.com/quantitative-medicine/wp-content/uploads/sites/117/2016/08/KacserBurns1973_21yearsOn_Pedro.pdf","Yes"
"A review of flux-profile relationships","https://link.springer.com/article/10.1007/BF00240838","1974","Journal Article","Boundary-Layer Meteorology","A. J. Dyer","10.1007/BF00240838","http://www.climatexchange.nl/projects/alteddy/papers/Dyer-1974.pdf","No"
"Measuring autophagosome flux","https://www.tandfonline.com/doi/abs/10.1080/15548627.2018.1469590","2018","Journal Article","Autophagy","André du Toit
Jan-Hendrik S. Hofmeyr
Thomas J. Gniadek
Ben Loos","10.1080/15548627.2018.1469590","https://www.tandfonline.com/doi/pdf/10.1080/15548627.2018.1469590","Yes"
"Why should autophagic flux be assessed?","https://www.nature.com/articles/aps2012184","2013","Journal Article","Acta Pharmacologica Sinica","Xiao Jie Zhang
Sheng Chen
Kai Xing Huang
Weidong Le","10.1038/APS.2012.184","https://www.nature.com/articles/aps2012184.pdf","Yes"
"Science in flux","https://books.google.com/books?hl=en&lr=&id=MRaoBgAAQBAJ&oi=fnd&pg=PR9&dq=%22Terraform%22+OR+%22CloudFormation%22+OR+%22Ansible%22+OR+%22Pulumi%22+OR+%22Kubernetes%22+OR+%22GitOps%22+OR+%22ArgoCD%22+OR+%22Flux%22&ots=YJJF_sjT0q&sig=5WktuQ3US9vsxY0HGs-omfwhuEg","1975","Journal Article","Physics Today","Joseph Agassi","10.1063/1.3024668","","No"
"Mastering Kubernetes: Master the art of container management by using the power of Kubernetes","https://books.google.com/books?hl=en&lr=&id=nPBZDwAAQBAJ&oi=fnd&pg=PP1&dq=%22Terraform%22+OR+%22CloudFormation%22+OR+%22Ansible%22+OR+%22Pulumi%22+OR+%22Kubernetes%22+OR+%22GitOps%22+OR+%22ArgoCD%22+OR+%22Flux%22&ots=53lEma6rfN&sig=NNtKWJtBWV08TNxB6Z2l0QIHTxE","","","","G Sayfan","","http://ndl.ethernet.edu.et/bitstream/123456789/40210/2/115.Gigi%20Sayfan.pdf","No"
"Gas flux","https://acsess.onlinelibrary.wiley.com/doi/abs/10.2136/sssabookser5.1.2ed.c47","","","","D. E. Rolston","10.2136/sssabookser5.1.2ed.c47","","No"
"Rearchitecting kubernetes for the edge","https://dl.acm.org/doi/abs/10.1145/3434770.3459730","2021","Proceedings Article","arXiv: Distributed, Parallel, and Cluster Computing","Andrew Jeffery
Heidi Howard
Richard Mortier","10.1145/3434770.3459730","https://dl.acm.org/doi/pdf/10.1145/3434770.3459730","Yes"
"Xi commandments of kubernetes security: A systematization of knowledge related to kubernetes security practices","https://ieeexplore.ieee.org/abstract/document/9230176/","2020","Posted Content","arXiv: Cryptography and Security","Md. Shazibul Islam Shamim
Farzana Ahamed Bhuiyan
Akond Rahman","","https://arxiv.org/pdf/2006.15275","Yes"
"Modelling performance & resource management in kubernetes","https://dl.acm.org/doi/abs/10.1145/2996890.3007869","2016","Proceedings Article","IEEE/ACM International Conference Utility and Cloud Computing","Víctor Medel
Omer Rana
José Ángel Bañares
Unai Arronategui","10.1145/2996890.3007869","https://dl.acm.org/doi/pdf/10.1145/2996890.3007869","No"
"The kubernetes book","https://it-systems.su/wp-content/uploads/2022/03/nigel-poulton-the-kubernetes-book-2020.pdf","","","","N Poulton
P Joglekar","","https://it-systems.su/wp-content/uploads/2022/03/nigel-poulton-the-kubernetes-book-2020.pdf","No"
"The open flux problem","https://iopscience.iop.org/article/10.3847/1538-4357/aa8a70/meta","2017","Journal Article","arXiv: Solar and Stellar Astrophysics","Jon A. Linker
Ronald M. Caplan
Cooper Downs
Pete Riley
Zoran Mikic
Roberto Lionello
Carl J. Henney
Charles N. Arge
Y. Liu
Marc L. DeRosa
Anthony R. Yeates
Mathew J. Owens","10.3847/1538-4357/AA8A70","https://iopscience.iop.org/article/10.3847/1538-4357/aa8a70/pdf","Yes"
"Generations in flux","https://rickesassociates.com/wp-content/uploads/2019/09/Generations-in-Flux-FINAL.pdf","","","","PC Rickes","","https://rickesassociates.com/wp-content/uploads/2019/09/Generations-in-Flux-FINAL.pdf","No"
"Kubernetes scheduling: Taxonomy, ongoing issues and challenges","https://dl.acm.org/doi/abs/10.1145/3539606","2022","Journal Article","ACM Computing Surveys","Carmen Carrión","10.1145/3539606","https://dl.acm.org/doi/pdf/10.1145/3539606","No"
"A survey of Kubernetes scheduling algorithms","https://link.springer.com/article/10.1186/s13677-023-00471-1","2023","Journal Article","Journal of cloud computing","Khaldoun Senjab
Sohail Abbas
Naveed Ahmad
Atta ur Rehman Khan","10.1186/s13677-023-00471-1","https://link.springer.com/content/pdf/10.1186/s13677-023-00471-1.pdf","Yes"
"Borg, omega, and kubernetes","https://dl.acm.org/doi/fullHtml/10.1145/2890784","2016","Journal Article","Communications of The ACM","Brendan Burns
Brian Grant
David Oppenheimer
Eric Brewer
John Wilkes","10.1145/2890784","https://dl.acm.org/doi/pdf/10.1145/2890784","Yes"
"What are flux transfer events?","https://www.sciencedirect.com/science/article/pii/0032063388901092","1988","Journal Article","Planetary and Space Science","David J. Southwood
Charlie J. Farrugia
M. A. Saunders","10.1016/0032-0633(88)90109-2","","No"
"A Survey on Hybrid and Multi-Cloud Environments: Integration Strategies, Challenges, and Future Directions","https://ijctece.com/index.php/IJCTEC/article/view/275","","","","V Bitkuri
R Kendyala
J Kurma
JV Mamidala","","https://ijctece.com/index.php/IJCTEC/article/download/275/235","No"
"Kubernetes for Multi-Cloud and Hybrid Cloud: Orchestration, Scaling, and Security Challenges","https://www.researchgate.net/profile/Bhanuprakash-Madupati/publication/388427390_Kubernetes_for_Multi-Cloud_and_Hybrid_Cloud_Orchestration_Scaling_and_Security_Challenges/links/67a0f26a96e7fb48b9b10db7/Kubernetes-for-Multi-Cloud-and-Hybrid-Cloud-Orchestration-Scaling-and-Security-Challenges.pdf","2025","Repository","Social Science Research Network","Bhanuprakash Madupati","10.2139/ssrn.5076649","https://www.researchgate.net/profile/Bhanuprakash-Madupati/publication/388427390_Kubernetes_for_Multi-Cloud_and_Hybrid_Cloud_Orchestration_Scaling_and_Security_Challenges/links/67a0f26a96e7fb48b9b10db7/Kubernetes-for-Multi-Cloud-and-Hybrid-Cloud-Orchestration-Scaling-and-Security-Challenges.pdf","No"
"Containerization in multi-cloud environment: roles, strategies, challenges, and solutions for effective implementation","https://arxiv.org/abs/2403.12980","2024","Journal Article","arXiv.org","Muhammad Waseem
Aakash Ahmad
Peng Liang
Muhammad Azeem Akbar
Arif Ali Khan
Iftikhar Ahmad
Manu Setälä
Tommi Mikkonen","10.48550/arxiv.2403.12980","https://arxiv.org/pdf/2403.12980","No"
"Towards multi-cloud configurations using feature models and ontologies","https://dl.acm.org/doi/abs/10.1145/2462326.2462332","2013","Proceedings Article","","Clément Quinton
Nicolas Haderer
Romain Rouvoy
Laurence Duchien","10.1145/2462326.2462332","https://dl.acm.org/doi/pdf/10.1145/2462326.2462332","Yes"
"Multi-cloud: a comprehensive review","https://ieeexplore.ieee.org/abstract/document/9318176/","2020","Proceedings Article","IEEE International Multitopic Conference","Hamza Ali Imran
Usama Latif
Ataul Aziz Ikram
Maryam Ehsan
Ahmed Jamal Ikram
Waleed Ahmad Khan
Saad Wazir","10.1109/INMIC50486.2020.9318176","https://ieeexplore.ieee.org/iel7/9318042/9318043/09318176.pdf","Yes"
"Multi-cloud platform-as-a-service model, functionalities and approaches","https://www.sciencedirect.com/science/article/pii/S187705091632097X","2016","Journal Article","Procedia Computer Science","Ana Juan Ferrer
David Garcia Perez
Román Sosa González","10.1016/J.PROCS.2016.08.281","https://www.sciencedirect.com/science/article/pii/S187705091632097X/pdf?md5=3ac2afeb73de67caee43f617f101b614&pid=1-s2.0-S187705091632097X-main.pdf&_valck=1","Yes"
"Multi-cloud management: Technologies, tools, and techniques","https://link.springer.com/chapter/10.1007/978-3-319-78637-7_10","2018","Book Chapter","","Pethuru Raj
Anupama Raman","10.1007/978-3-319-78637-7_10","","No"
"Navigating the multi-cloud maze: benefits, challenges, and future trends","https://ijgis.pubpub.org/pub/plmsrs5y","2024","Journal Article","","Dhruv Seth
Harshavardhan Nerella
Madhavi Najana
Ayisha Tabbassum","10.21428/e90189c8.8c704fe4","","No"
"Hybrid IT and multi cloud an emerging trend and improved performance in cloud computing","https://link.springer.com/article/10.1007/s42979-020-00277-x","2020","Journal Article","","Srinivasa Rao Gundu
Charanarur Panem
Anuradha Thimmapuram","10.1007/S42979-020-00277-X","https://www.academia.edu/download/96203521/s42979-020-00277-x.pdf","Yes"
"Optimizing hybrid and multi-cloud architectures for real-time data streaming and analytics: Strategies for scalability and integration","https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4963389","2022","Journal Article","World Journal of Advanced Engineering Technology and Sciences","Jobin George","10.30574/wjaets.2022.7.1.0087","https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=4963389","No"
"Compliance","https://karger.com/pps/article-abstract/58/3-4/161/281532","1960","Journal Article","","B Blackwell","10.1097/00000542-196001000-00089","","No"
"Governance","https://books.google.com/books?hl=en&lr=&id=Ht-tEAAAQBAJ&oi=fnd&pg=PA1989&dq=%22policy+as+code%22+OR+%22compliance%22+OR+%22governance%22&ots=DdQnCbE-L_&sig=l_Jt01hHWSao8M0DtjXwb2oSRA4","","","","AM Kjaer","","","No"
"Understanding governance: Ten years on","https://journals.sagepub.com/doi/abs/10.1177/0170840607076586","2007","Journal Article","Organization Studies","Roderick Rhodes","10.1177/0170840607076586","https://www.researchgate.net/profile/R-A-W-Rhodes/publication/233870082_Understanding_Governance_Policy_Networks_Governance_Reflexivity_and_Accountability/links/56e2725e08ae03f0278eeffe/Understanding-Governance-Policy-Networks-Governance-Reflexivity-and-Accountability.pdf","No"
"How do you improve compliance?","https://publications.aap.org/pediatrics/article-abstract/115/6/e718/67454","2005","Journal Article","Pediatrics","Sheldon Winnick
David O. Lucas
Adam L. Hartman
Adam L. Hartman
David Toll","10.1542/PEDS.2004-1133","","Yes"
"Governance matters","https://papers.ssrn.com/sol3/papers.cfm?abstract_id=188568","2020","Journal Article","Report of the United Nations Joint Staff Pension Board","D Kaufmann
A Kraay
P Zoido","10.18356/9789211068993c013","https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=188568","No"
"Democratic governance","https://www.degruyterbrill.com/document/doi/10.1515/9781400836857","2022","Journal Article","Demokratične vrâduvannâ","M Bevir","10.23939/dg","","No"
"The governance perspective","https://library.oapen.org/bitstream/handle/20.500.12657/35130/340216.pdf?sequence=1#page=12","2005","Other","","Jan Kooiman
Maarten Bavinck","10.1017/9789048505326.002","https://library.oapen.org/bitstream/handle/20.500.12657/35130/340216.pdf?sequence=1#page=12","No"
"Governance: From theory to practice","https://link.springer.com/content/pdf/10.1057/9780230583344_10?pdf=chapter%20toc","2009","Book Chapter","","Vasudha Chhotray
Gerry Stoker","10.1057/9780230583344_10","","No"
"Multi-IaC-Eval: Benchmarking Cloud Infrastructure as Code Across Multiple Formats","https://arxiv.org/abs/2509.05303v1","2025","Preprint","","Sam Davidson
Li Sun
Bhavana Bhasker
Laurent Callot
Anoop Deoras","","https://arxiv.org/pdf/2509.05303v1","Yes"
"DevOps Automation Pipeline Deployment with IaC (Infrastructure as Code)","https://arxiv.org/abs/2503.16038v1","2025","Preprint","","Adarsh Saxena
Sudhakar Singh
Shiv Prakash
Tiansheng Yang
Rajkumar Singh Rathore","10.1109/SILCON63976.2024.10910699","https://arxiv.org/pdf/2503.16038v1","Yes"
"Source Code Properties of Defective Infrastructure as Code Scripts","https://arxiv.org/abs/1810.09605v1","2018","Preprint","","Akond Rahman
Laurie Williams","10.1016/j.infsof.2019.04.013","https://arxiv.org/pdf/1810.09605v1","Yes"
"InfraFix: Technology-Agnostic Repair of Infrastructure as Code","https://arxiv.org/abs/2503.17220v2","2025","Preprint","","Nuno Saavedra
João F. Ferreira
Alexandra Mendes","","https://arxiv.org/pdf/2503.17220v2","Yes"
"IaC Generation with LLMs: An Error Taxonomy and A Study on Configuration Knowledge Injection","https://arxiv.org/abs/2512.14792v1","2025","Preprint","","Roman Nekrasov
Stefano Fossati
Indika Kumara
Damian Andrew Tamburri
Willem-Jan van den Heuvel","","https://arxiv.org/pdf/2512.14792v1","Yes"
"Statically Inferring Usage Bounds for Infrastructure as Code","https://arxiv.org/abs/2402.15632v1","2024","Preprint","","Feitong Qiao
Aryana Mohammadi
Jürgen Cito
Mark Santolucito","","https://arxiv.org/pdf/2402.15632v1","Yes"
"DeepIaC: Deep Learning-Based Linguistic Anti-pattern Detection in IaC","https://arxiv.org/abs/2009.10801v1","2020","Preprint","","Nemania Borovits
Indika Kumara
Parvathy Krishnan
Stefano Dalla Palma
Dario Di Nucci
Fabio Palomba
Damian A. Tamburri
Willem-Jan van den Heuvel","","https://arxiv.org/pdf/2009.10801v1","Yes"
"GenSIaC: Toward Security-Aware Infrastructure-as-Code Generation with Large Language Models","https://arxiv.org/abs/2511.12385v1","2025","Preprint","","Yikun Li
Matteo Grella
Daniel Nahmias
Gal Engelberg
Dan Klein
Giancarlo Guizzardi
Thijs van Ede
Andrea Continella","","https://arxiv.org/pdf/2511.12385v1","Yes"
"Smells-sus: Sustainability Smells in IaC","https://arxiv.org/abs/2501.07676v2","2025","Preprint","","Seif Kosbar
Mohammad Hamdaqa","","https://arxiv.org/pdf/2501.07676v2","Yes"
"A Framework for Measuring the Quality of Infrastructure-as-Code Scripts","https://arxiv.org/abs/2502.03127v1","2025","Preprint","","Pandu Ranga Reddy Konala
Vimal Kumar
David Bainbridge
Junaid Haseeb","","https://arxiv.org/pdf/2502.03127v1","Yes"
"Using a Feedback Loop for LLM-based Infrastructure as Code Generation","https://arxiv.org/abs/2411.19043v1","2024","Preprint","","Mayur Amarnath Palavalli
Mark Santolucito","","https://arxiv.org/pdf/2411.19043v1","Yes"
"Automated Cloud Infrastructure-as-Code Reconciliation with AI Agents","https://arxiv.org/abs/2510.20211v1","2025","Preprint","","Zhenning Yang
Hui Guan
Victor Nicolet
Brandon Paulsen
Joey Dodds
Daniel Kroening
Ang Chen","","https://arxiv.org/pdf/2510.20211v1","Yes"
"Detection of security smells in IaC scripts through semantics-aware code and language processing","https://arxiv.org/abs/2509.18790v1","2025","Preprint","","Aicha War
Adnan A. Rawass
Abdoul K. Kabore
Jordan Samhi
Jacques Klein
Tegawende F. Bissyande","","https://arxiv.org/pdf/2509.18790v1","Yes"
"IntelliSA: An Intelligent Static Analyzer for IaC Security Smell Detection Using Symbolic Rules and Neural Inference","https://arxiv.org/abs/2601.14595v1","2026","Preprint","","Qiyue Mei
Michael Fu","","https://arxiv.org/pdf/2601.14595v1","Yes"
"Consistency Checking and Querying in Probabilistic Databases under Integrity Constraints","https://arxiv.org/abs/1303.3233v1","2013","Preprint","","Sergio Flesca
Filippo Furfaro
Francesco Parisi","","https://arxiv.org/pdf/1303.3233v1","Yes"
"Team-oriented Consistency Checking of Heterogeneous Engineering Artifacts","https://arxiv.org/abs/2103.14860v1","2021","Preprint","","Michael Alexander Tröls
Atif Mashkoor
Alexander Egyed","","https://arxiv.org/pdf/2103.14860v1","Yes"
"Consistency-Checking Problems: A Gateway to Parameterized Sample Complexity","https://arxiv.org/abs/2308.11416v1","2023","Preprint","","Robert Ganian
Liana Khazaliya
Kirill Simonov","","https://arxiv.org/pdf/2308.11416v1","Yes"
"Optimal Reads-From Consistency Checking for C11-Style Memory Models","https://arxiv.org/abs/2304.03714v2","2023","Preprint","","Hünkar Can Tunç
Parosh Aziz Abdulla
Soham Chakraborty
Shankaranarayanan Krishna
Umang Mathur
Andreas Pavlogiannis","","https://arxiv.org/pdf/2304.03714v2","Yes"
"Incremental Consistency Checking in Delta-oriented UML-Models for Automation Systems","https://arxiv.org/abs/1604.00348v1","2016","Preprint","","Matthias Kowal
Ina Schaefer","10.4204/EPTCS.206.4","https://arxiv.org/pdf/1604.00348v1","Yes"
"Agent-Based Output Drift Detection for Breast Cancer Response Prediction in a Multisite Clinical Decision Support System","https://arxiv.org/abs/2512.18450v1","2025","Preprint","","Xavier Rafael-Palou
Jose Munuera
Ana Jimenez-Pastor
Richard Osuala
Karim Lekadir
Oliver Diaz","","https://arxiv.org/pdf/2512.18450v1","Yes"
"GLaMoR: Consistency Checking of OWL Ontologies using Graph Language Models","https://arxiv.org/abs/2504.19023v1","2025","Preprint","","Justin Mücke
Ansgar Scherp","","https://arxiv.org/pdf/2504.19023v1","Yes"
"Towards Dynamic Consistency Checking in Goal-directed Predicate Answer Set Programming","https://arxiv.org/abs/2110.12053v1","2021","Preprint","","Joaquín Arias
Manuel Carro
Gopal Gupta","","https://arxiv.org/pdf/2110.12053v1","Yes"
"L2C2: Logic-based LSC Consistency Checking","https://arxiv.org/abs/1002.3083v1","2010","Preprint","","Hai-Feng Guo
Wen Zheng
Mahadevan Subramaniam","","https://arxiv.org/pdf/1002.3083v1","Yes"
